27/06/2022 13:24:51.83 [Information] -------------------------------
27/06/2022 13:24:53.51 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.51 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.51 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.52 [Information] Try to delete directory 'C:\Users\KukaUser\AppData\Local\Temp\1171682376a1455a859acda9e1549979\32114ee52970419fa36f1d820bab81ee'.
27/06/2022 13:24:53.52 [Information] Directory 'C:\Users\KukaUser\AppData\Local\Temp\1171682376a1455a859acda9e1549979\32114ee52970419fa36f1d820bab81ee' has been deleted.
27/06/2022 13:24:53.52 [Information] Extract file manipulation action contents and execute file manipulations for 'SpsSubAdd'
27/06/2022 13:24:53.52 [Information] Execute file manipulation action 'SpsSub.add'
27/06/2022 13:24:53.54 [Information] Determining which file manipulation mechanism to use
27/06/2022 13:24:53.54 [Information] Prepare content of file manipulation action 'SpsSub.add'
27/06/2022 13:24:53.54 [Information] 	-New mechanism supported
27/06/2022 13:24:53.76 [Information] Try to delete directory 'C:\Users\KukaUser\AppData\Local\Temp\1171682376a1455a859acda9e1549979\8748a194eda04020b5a1e14890c3753e'.
27/06/2022 13:24:53.76 [Information] Directory 'C:\Users\KukaUser\AppData\Local\Temp\1171682376a1455a859acda9e1549979\8748a194eda04020b5a1e14890c3753e' has been deleted.
27/06/2022 13:24:53.76 [Information] Collect file 'KRC:\R1\System\$config.dat'
27/06/2022 13:24:53.77 [Information] Collect file 'KRC:\R1\System\bas.src'
27/06/2022 13:24:53.77 [Information] Collect file 'KRC:\R1\System\collmonlib.dat'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\collmonlib.src'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\Global_Points.dat'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\ir_stopm.src'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\masref_main.dat'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\masref_main.src'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\MsgLib.dat'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\MsgLib.src'
27/06/2022 13:24:53.79 [Information] Collect file 'KRC:\R1\System\sps.sub'
27/06/2022 13:24:53.82 [Information] Option 'GripperSpotTech (V5.0.3.51)' added successfully
27/06/2022 13:24:55.32 [Information] Prepare Installation of project "1304915_BR V1.8.0".
27/06/2022 13:24:55.32 [Information] Current project was "1304915_BR V1.8.0".
27/06/2022 13:24:58.27 [Information] ° WorkVisual version found : V6.0.15_Build0685
27/06/2022 13:24:58.29 [Information] °°° Begin adding actions for project '1304915_BR V1.8.0'!
